stars,body
"5,0",Telefonumda ve kameramda kullanıyorum. Kameranın 24mp 11fps de çalışmasını rahatça kaldırıyor. XAVC S 50mbps video formatini kullandirtiyor. Fiyatına göre performansı çok çok iyi. İçinden adaptör çıkıyor. Fakat samsung bir de kart kabı koysa çok daha iyi olur.
"5,0","Teşekkürler. Amazon.com beklediğimden hızlı ve ilgili. Ayrıca ürün de, alabileceğinizin en iyisi. Ravsiye ederim.."
"5,0","Samsung kalitesi, Amazon'un hizmet kalitesiyle birleşmiş. Ben Thieye i60+ aksiyon kameramda kullanıyorum. FHD 30fsp de sorunsuz. Tavsiye ederim."
"5,0",Giriş seviye bir akıllı telefonun yetersiz gelmeye başlayan hafıza sorununu çözmek için 32 GB kapasiteli olanını satın aldım. A1 SD Bench programıyla yaptığım hız testine göre ortalama 54 MB/s okuma hızı ve 22 MB/s yazma hızı var. U1 sınıfındaki rakiplerine kıyasla özellikle yazma hızıyla öne çıktığını düşünüyorum.
"5,0",1.5 yıldır Samsung Note 9 ile kullanıyorum. Hiç bir sorun yaşamadım. 4k 60 fps çekmede bir problem olmadı. Aldığım günden beri yeri geldi yedekleme yaptım yeri geldi usb olarak kullandım. Filmleri atıp izledim hiç sorun yaşamadım. Kesinlikle tavsiye ederim.
"1,0","Sürekli hata veriyor. Dosyaları açmıyor. Teknoloji ile aram iyi değildir ve benden kaynaklanıyor diye düşündüm.  Huawei mate 20 ile kullanmak için almıştım 1,5 ay sonra tamamen iptal oldu. Verdiğim para haram zıkkım olsun"
"5,0",Uzun zamandır samsung sd kart kullanıyorum. Çok memnunum kalitesi çok iyi. Telefon için fazlasıyla yeterli.
"5,0","Sadece bu kartın hızına bakıp karar vermeyin, cihazınızda bulunan kart okuma donanımınızın hızına da bakın. Dünyanın en hızlı kartınıda alsanız, 1000-1500$ aralığında olan çoğu notebook ta olduğu gibi maalesef donanımı 30-35'in üzerine izin vermeyen bir bilgisayarınız olablir."
"5,0",(256 gb) Amazon a teşekkür ederim. Elime taahhüt edilen tarihten once guzel bir pakrtleme ile sorunsuz ulaştı. Telefonuma hemen taktım kullanıyorum sorun yok. Video arşivimi elimin altında tutabilecek olmamın rahatlığı çok güzel.
"5,0",Sandık kalitesi üstelik ürünün arkasında duran satış sonrası da desteği tam anlamıyla sürdüren ender markalardan.
"5,0","Ürün çok güzel paketlenmiş, sipariş verdikten 1 gün sonra elime ulaştı. Kolay gelsin diye bir firma ile çalışıyorlar, gelmeden önce haber verildi randevu aldıkları saate geldiler. Çok memnun kaldım. Almayı düşünen arkadaşlara kesinlikle tavsiye ederim. Sorunsuz bir alışverişi."
"5,0",Araç kameramda kullandım. Yüksek çözünürlükte kayıt yapmasına yani defalarca mevcut verinin üzerine yazmasına rağmen beş yıl dayandı. Şimdi aynı ürünün ikincisini aldım. Amazon ambalajı artısı.
"5,0",dizüstünün hafıza kartı slotuna takıp 4k video ve mp3-flac müziklerimi karışık attım 55-80mb saniyede yazma elde ettim okuma hızı 100mb gerçekten görüyor-cep telefonu samsung s10 lite snapdragon 855işlemci ondadan 80mb saniye yazmaya ulaştım.....bu fiyata şahane-orjinal ürün.
"5,0","Ürünü Samsung S9 Plus telefonum için aldım. Telefonumdaki yüksek boyutlu dosyaları oldukça hızlı transfer etti. Hem telefonun ana hafızası rahatladı, hem de 128gb depolama alanım oldu. Sorunsuz çalışıyor. Hızlı kargo için de teşekkürler."
"5,0",Ürünü sadece foto depolama alanı olarak kullanıyorum.Toplu olarak fotoları okurken ve yazarken fabrika degerlerine ulaşmasa da fiyatına göre tatmin edici . Ayrıca kategori olarak hafıza kartının yanında diger satın aldıgım ürünlerin tek pakette gönderilmesi de hoş olmuş.
"5,0","hafıza kartından ötesi...fiyatını,kalitesini ve işlevselliğini çok beğendim.bilgisarımdan bütün müzikleri yükledim, telefon ve arabamdan dinliyorum."
"5,0","Ürün her telefonun kaldıramayacağı hızda. Samsung Galaxy Grande plus kaldırmadı. BURAYA DÜZELTME EKLİYORUM; KARTI GM5 PLUSDA exFAT türünde formatladım, sonra Samsung a taktım telefon kartı gördü Dert bitti.  tüm internet aleminde en ucuz fiyata buradan aldım"
"5,0",4K ve 960 fps slow motion video kayıtlarını sorunsuz yapmakta. Son derece hızlı. Daha önce 1 yı boyunca 64 Gb. olanını yoğun olarak kullandım. Herhangi bir problem yaşamamıştım.
"5,0",Sorunsuz güzel üründü.
"5,0","Farklı cihazlara taktım. Yorum yazmadan önce kartı baya bir denemeden geçirdim. Dayanıklık, okuma ve yazma hızı mükemmele yakın bir ürün. Uzun ömürlü olaması benim için çok önemli. Tavsiye edebilirim."
"5,0",Çok Hızlı olmasada Yolda bırakmayan bir kart araç kamerasında kullanıyorum memnunum
"5,0",Amazon kalitesini belli etti teşekkürler :)Ürün orijinal bir problem yok.Xiaomi 70mai 1s araç kamerama taktım çalıştı.Daha önce farklı bir siteden aldığım kart sahte gelmişti ve çalışmamıştı.Tekrar teşekkürler amazon :)
"5,0",General Mobile 4G Dual cihazın hafızasına ilaveten aldım. Sıkıntısız bir şekilde çalıştı. Ayrıca Amazon un anlaştığı yeni kargo firmasını çok beğendim. İşte Amazon farkı bu dedirtti. İyi ki Mng den kurtuldular.
"3,0",Test yaptığım  cihaz ve programlarda hız olarak belirtilen hızların çok altında çıktı. 20 MB hızın üstünü görmedim. Belki kullandığım program ve cihazın yavaş olduğundan olabilir.İşimi görüyor samsung markasına güvendiğim için aldım.
"2,0",Fiyat güzel ancak telefon ilk taktığımda hafıza kartı yavaş diye bir uyarı verdi. Android üzerinden benchmarklarda stabil bir sonuç alamadım.
"1,0","Ürünü altım, bahsettiği hıza çıkamadı, geri de iade edemedim, samsung türkiye tarafında da doğrulatamadım."
"4,0",Hızlı ve temiz bir kargo ile paketinde geldi. 32gb değil 29 küsür gb bu yüzden 1 puan kırıyorum. Tam 32 olmadığını biliyordum zaten ama bilmeyen olabilir ve bu değeri almadan önce bilebilmemiz lazım.
"5,0",Ürün makul bir sürede elime ulaştı ve satıcı mesajla yazdığımda hemen ertesi gün dönüş yaptı kargoya cermişti bile. Ürün güzel paketlenmiş ve doğru ürün elime ulaştı teşekkürler
"5,0",herhangi bir olumsuzlukla karşılaşmadık. yazma ve okuma hızları da iyi (bana göre). fiyatının karşılığında alınabilir.
"5,0","Sadece telefonuma takmak için aldım, kullanıyorum. İşimi görüyor."
"5,0","Çoğu kullanıcı için yeterli. Şahsen kendim de 4,5 senedir 64gb hafıza kartı kullanıyorum, o zamanlar bu hızdaki ürünler fiyat olarak 3-4 katıydı. Spotify Netflix çevrimdışı kullanımı ile birlikte genel olarak yeterli."
"5,0",Klasik amazon ürün orjinal teslimat çağ ötesi bir hızda.istanbuldan balıkesire taşındım ve en çok ertesi gün teslimat olmayısına üzülüyorum kıymetini bilin büyük nimet
"5,0","Kutusunun üzerinde yazan 100MB/s okuma ve 60MB/s değerlerini karşılıyor. Bilgisayarda 91MB/s yazma ve 66MB/s yazma değerlerine ulaştım. Ürün telefonda 63.99GB olarak bilgisayarda 59.5GB olarak görünüyor. En önemli avantajı, yaklaşık olarak aynı fıyatlı rakiplerinin U1 Class 10 sd kart olmasına rağmen bu ürün U3 Class 10 olması, bu da sorunsuz 4K çekim yapabilmenizi sağlıyor."
"5,0",Gerçekten hayatı kolaylaştırıyor. Çek çekebildiğin kadar resim ve video.
"5,0",Hızlı kargo için teşekkürler 2 adet aldım ikisi de tıkır tıkır çalışıyor diğer yerlere göre daha uygun fiyatlı.
"4,0",Kart yeterince hızlı ve ihtiyaç duyduğum kapasiteye sahip. 6 ay kadar kullandım bi sıkıntı yaşamadım ikincisini Amazon'dan uygun fiyata aldım ve hızlı bir şekilde bana ulaştı. Samsung kalitesi işte tartışılmaz 👍
"5,0","20 Nisan tarihinde saat 19:00 civarlarında sipariş verdim ,21 Nisan sabah 10:00 civarlarında elime ulasti. Ürün orijinal paketleme güzel kargo jet hızı . Ürünü henüz denemedim. Amazon 10 yıldız hak ediyor..."
"1,0",Ürünü kullanmaya başladıktan 1 gün sonra kart bozuk biçimlendirin uyarısı geldi tüm belgelerim anılarım ziyan oldu
"4,0",ürün hızlı bir şekilde kargoya verilip elime ulaştı. Hafıza kartinin okuma ve yazma hızları yaptığım testlerde üzerinde yazan değerlerden %40 felan daha yavaş çıktı.
"5,0","Kaliteli ürün, Nintendo Switch için aldım hızları fazlasıyla yetiyor, 100 MB/s hız veriyor!"
"5,0",Ucuza mis gibi kalite. Ozellikle kolaygelsin kargo sirketiyle birlikte 24saat olmadan kapimdaydi.
"4,0","Hızlı kargo, firma gayet iyi.Ancak ürünle 100 leri göremedik 84/86 gibi okuma hızları görebildim testlerde. Farklı okuyucularla da denedim sonuç aynı."
"5,0",Ürün güzel kargoda hızlı ve güvenilir satıcı amazon olarak aldım tavsiye ederim pakette güzel yapılmış üründe hızlı orjinal galaxy m20 telefonumda kulkanıyorum gayet uyumlu çalışıyor
"1,0",64gb sipariş ettiğim sd kartlar üzerinde 64 yazmasına rağmen 32gb cikti
"5,0",Ürün fiyat aralığı ve genel arama gamı içerisindeki en kaliteli ve fiyatına göre en performanslı ürün olarak konumlanmakta. Amazon güvencesi ile sıkıntısız ve hızlı bir alışveriş oldu memnun kaldım.
"3,0","gopro 8 için almıştım, maksimum 80mb/s olarak görüyor testlerde."
"5,0",Akıllı telefonum için aldım gayet güzel begendim ama hepsinde olemi bilmiorum ama 29gb olarak geliyo haberiniz olsun arkadaslar 2tane aldım ikiside oleydi ama okuma hızı guzel class 10
"5,0",Samsung kalitesi ve hızlı bir kart olması en önemli avantajı.Ses ve resim yüklemek için çok çok yeterli bir kapasite.Video veya film yüklemek için 128 GB modelini öneririm.
"5,0",Daha önce sandisk kullandım gerçekten samsung dan sonra anladım ki diğer micro sd ler pişmanlıkmış 80 MB/s hız alıyorum teşekkürler indirimli zamanında aldım çok memnunum.
"4,0",Kapasite doğru ancak okuma ve yazma hızı bilgisi yanlış.Hafıza kartına birşeyler yüklerken çok yavaş işlem yapıyor aynı sorunu galeride de görüntülerken yaşıyorsunuz yavaş açılıyor.
"4,0",işmi gördü yeni telefonuma dahili olarak biçimlendirdim hafıza arttı hızıda kendi klasmanına göre iyi güzel oldu alacak olan teredüt etmeden alıp kullanabilir teşekürler Amazon.
"5,0",Ürün çok güzel.eken aksiyon kamerası için aldım.sorun yok.Takır takır çalıştırıyor.Alacak olanlara tavsiye ederim.Paketleme ve hızlı gönderi için ayrıca teşekkür ederim.Uygun fiyatlı.
"5,0","Kart yeteri kadar hızlı, sorunsuz teslim edildi."
"5,0",Telefonunuzun MicroSD yuvasi varsa hafiza artirmak veya aksiyon kameranizda kullanmak uzere 4K kayitlarinizi kullananabileceginiz fiyat maliyet orani harika olan bir urun.
"5,0",Tavsiye üzerine aldım. Araç kamerasında sürekli kullanıyorum şu ana kadar hiç bir sorun çıkarmadı. Döngüsel kayıt yapıyor sıkıntı yok
"5,0","2 gün sonra alalı tam 1 yıl olacak. Keşke alırken 128 GB alsaymışım  diyorum, onun dışında çok memnunum."
"5,0",Daha önce pc ve mobil telefonuma birer tane satın almıştım. Memnun kaldım şimdi diğer telefonuma aldım. Markası güvenilir ve performansı gayet iyi.
"5,0",yüksek okuma yazma hızı var gayet güzel bir tercih
"5,0","uygun fiyata yuksek kalite,farkli marka pahali urunle ayni isi goruyor ikisini de kullaniyorum fark yok"
"5,0","Galaxy S9 Plus telefonum için aldım. 4K 60fps videolarda kesinlikle takılma yapmıyor. Ürün orijinal, amazon satıcısından güvenerek sipariş oluşturabilirsiniz :)"
"1,0",samsung evo plus 128 gb microsd kart aldım. İnternette ki aldığım ürün write speed 90 mb ancak bana write speed 60 mb olanı göndermişler. İnsanları keriz yerine koymayın
"5,0",Ürünün fiyati en hesapli amazon gibi geldi bana ve buradan aldim. Kaliteli ve hizli bir ürün. fazlasi ile iş görüyor.
"4,0",Sorunsuz
"5,0","Amazon aracılığı ile hızlı kargo süreci ile ertesi gün elime ulaştı. Ürün telefonlarda boyutu büyük pdf'leri, videoları sanki telefon hafızasındaymış gibi hızlı bir şekilde açıp işleyebiliyor. Ben memnun kaldım."
"5,0",orjinal ürün Filipinler Üretimi. (Kore üretimi olanlarda bazen sorun olabiliyormuş.)  özellikle filipinler üretimi olduğu için satın aldım.  amaozn türkiye satıcısından aldım.  çok memnunum.
"5,0",Yeni aldigim S8+ telefonum icin almistim. Fazla gerek duymadim ama calismasinda kasma donma yavaslama gibi seyler yok. Gonul rahatligiyla alabilirsiniz.
"5,0",Sandisk Ultra 32gb kullanıyordum. Samsung Evo Plus 64gb aldım. Performans olarak %50 daha iyi diyebilirim. Bu kart medya işlemlerinde daha seri ve stabil.
"5,0",2 yıldır Nintendo Switch'de kullanıyorum. Bugüne kadar bir sorunla karşılaşmadım.
"5,0",Sandisk Micro-sd sonrası çok fazla beklentim yoktu ancak performans ve kalite olarak Sandisk i aratmıyor hatta şaşırtıcı derecede daha başarılı tavsiye ederim.
"5,0",ürün kalitesinden de anlaşıldığı gibi mükemmel tabii önemli olan satıcının da iyi olması Amazon bu konuda üstüme düşen görevi fazlasıyla yapıyor teşekkürler
"5,0",Araç kamerası için aldım.  İşini gayet iyi görüyor.  Fiyatı da uygundu.  Sipariş verdiğim günden 1 gün sonra bana ulaştı.  Tavsiye ederim.
"5,0",Marka Samsung olunca ürün de kaliteli oluyor. Hızlı gönderi ve orijinal ürün için Amazon'a teşekkürler.
"3,0",Ben fotoğraf makinesi nde kullanacağından kayıt yazma süresi istediğim performansı vermediği için iade ettim. Yoksa güzel fiyatı falan iyiydi.
"5,0","Güzel ürün, hızlı kargo. 64 GB olanı aldım kullanıyorum, dosya aktarımı gayet hızlı."
"5,0",Fiyatı gayet uygun ve Samsung kalitesi. Aşırı hızlı bir kart değil ama depolama işleri ve basit uygulamaları aktarmak için yeterli.
"5,0",Ürünü kesintisiz olarak 5 aydır kullanıyorum ve bir sıkınıt göremedim
"4,0",Çok hızlı bir kart. Beklediğimden de hızlı çıktı. Daha önce telefonun kaydetmesini bekliyordum hafızaya. Şimdi böyle bir derdim kalmadı.
"5,0",ÇOK KALİTELİ ÜRÜN HIZLI KARGO TEŞEKKÜRLER ÜRÜNÜ TAVSİYE EDERİM
"5,0","6aydir telefonda kullanıyorum sıkıntı yok,  Diğer markalarla macera aramayın"
"5,0",Ürün gayet kullanışlı 1 haftadır kullanıyorum hızlı ve sorunsuz çalışıyor. Kargo da çok hızlı geldi ve fiyatı da çok uygun. Tavsiye ederim.
"5,0","ip cam icin aldim, ihtoyacimi karsiliyor. tavsiye ederim. kargo duzgun ve hizli"
"2,0",2 adet hafiza karti aldim 64 gb diye.fakat kontrol ettigimde 59 gb diye gösteriyor niye dogrusu yazilmiyor aciklamaya.diger 5 gb nerde.
"5,0",Hızlı ve güvenilir bir marka. Android telefonumla tam uyumlu ve sorunsuz şekilde çalıştı. Teşekkürler...
"3,0",Açıklamada 4K özelliğe sahiptir yazmışlar ona göre aldım ama sadece FHD kayıt yapar
"5,0","Sorunsuz geldi,ürün de gayet iyi. Satıcı da ilgili"
"5,0",64 gb aldım kaliteli bir ürün ayrıca pubg gibi sağlam oyunları telefondan buna taşıdım sorunsuz çalışıyor.
"5,0",araç kamerasında kullanmak için aldım. sorunsuz belirtilen okuma ve yazma hızlarına sahip
"3,0",telefonun kamera ayarlarında bu kartı depolama için seçtiğimde hata veriyor ancak kendim dosya taşırsam kullanabiliyorum
"5,0",Eğer telefonuz yada araç kameranız için alıyorsanız kesinlikle doğru tercih. Araç kamerası için en düşük 64gb tavsiyedir
"1,0",Şu anda bu ürünü kullanamıyorum garanti belgesini kaybettiğim için ürünü iade edemedim elimde öylece duruyo malesef
"5,0",Arac ici kameram icin aldim. Ayni urunun 128gb versiyonunu kullaniyordum. Okuma yazma hizi oldukca iyi. Basarili bir micro sd.
"5,0","Uygun fiyat, orjinal ürün, sorunsuz alışveriş."
"5,0",Paketlenmesi güzel yapılmış ve orjinal
"5,0","Ürünün class10 ve U3 özellikleri, kullanmamda anılan hız performansını yaşattı. Orjinal garantili Samsung ürünüdür."
"5,0",Alınabilecek en iyi f/p ürünlerinden biri.
"5,0",amazon muhteşem bi site samsung klasik chin malı işte kroe filan demeyin orjinal çin öyle işte 5 yıldız amazon için
"5,0","Orijinal, uygun fiyatlı, kaliteli bir ürün. Beklentilerinizi fazlası ile karşılar."
"5,0",sd card a kurdugum programlar/oyunlar gayet hizli calisiyor.
"5,0",1 günde geldi ve performansı yazıldığı gibi. MacBook’um için ekstra depolama alanı için aldım gayet iyi çalışıyor.
"5,0",HIZLI
"4,0",samsung s9+ da kullanıyorum.. bir sıkıntı görmedım... 4k çekim yapmadım full hd ayarda kullanıyorum...  kopyalama hızı iyi
"5,0","Hızlı teslimat, en ucuz fiyat, teşekkürler. Piyasada bulunan en kaliteli güvenilir kart, fiyat / performansı en iyi ürün"
"5,0",Bilgisayarıma harici disk yerine bunu aldım. Yazma hızı seri yazımda 100MB/s. Bir SSD değil tabii ki ama harici olarak yeterince hızlı. Ertesi gün teslim edildi. Teşekkürler.
"5,0","Hızlı kargo kaliteli ürün, yazma hızını 62 mb/sn gördüm. Bağlantıya göre 90 mb/sn de olabilir."
"5,0","Android telefonda kullanıyorum. Gayet iyi ve uyumlu çalışıyor. Orijinal ürün, satıcı hemen kargoladı."
"5,0",1 edenden fazla oldu kullanali.. bir problem sıkıntı yaşamadım cok şükür. Düşünenler tercih edebilir
"5,0",Açıklamalarda me yazılıysa o geldi. Teşekkür ederim
"5,0","okuma ve yazma hızı süper , 32 gb usb ler böyle hızlı değil , hızlı başlayıp sonunu getiremiyorlar"
"5,0",Ürünü 4.kez alıyorum. Sağlam ve güvenilir
"5,0",Günlük kullanım için ideal. Telefonda vs rahatlıkla kullanabilirsiniz. Slr makinada raw çekiyorsanız seri çekimde dördüncüden sonra maalesef makinenin hızına yetişemiyor.
"5,0",İndirimde aldım
"5,0",Telefon için kullandım kısa sürede ve emniyetli bir şekilde düzgün ambalajı ile teslim aldım çok memnun kaldım.
"5,0",Cok oldu alali hala kullaniyorum. Kirilma cizilme yok.
"5,0",Ürün vaktinden erken geldi. Gayet güzel paketlenmiş olarak elime ulaştı. Sorunsuz çalışıyor.Teşekkürker
"5,0",Ürün gayet yeterli yazma hızı 40-50 mb okuma 80-90 mb civarında Android cihaz ile test ettim
"5,0",gayet uygun fiyata hızlı ve iyi paketlenmiş şekilde aldım. Araç kamerası 1080p 60 fps için gayet yeterli .
"5,0",Androit box ta kullanmak üzere aldım şuan sorunsuz olarak kullanıyorum alacaklara tavsiye ederim
"5,0",Fiyat performans urunu
"5,0",Beklentimi tamamen karşıladı.
"4,0",Ürün kargo bedava ayarlamama rağmen ertesi gün elime gecti. Ama 4k 60 fps video kaydetmiyor bilginize.
"5,0",Harika
"5,0","Mobil telefon için kullandım, gayet başarılı bir ürün, iyi bir performansı var."
"5,0",Maalesef kart okuyucu adaptör bozuk çıktı ancak hafıza kartı son derece hızlı ve sorunsuz çalışıyor.
"5,0",İndirimde iken fiyat performans oranı çok iyi. Kesinlikle öneririm.
"5,0",xiaomi 2k pro için aldım güzel
"5,0",Adaptörüyle ve kapasitesiyle harika bir ürün. Amazon'a harika hız ve fiyat için teşekkürler.
"2,0",128 GB diye aldığımız ürünün kapasitesi 119 GB çıkıyor. İlk kez böyle bir şey ile karşılaşıyorum.
"5,0",Telefonuma aldim gayet hizli. Samsung orjinal urun.
"5,0",Araç içi kameram için aldım. Okuma yazma hızı gayet güzel. Cok hızlı kargo. Teşekkürler.
"5,0",Gayet yeterli bir urun
"5,0",Veni vidi viçi. Sıkıntı yok. Güzel yani. Al kullan. No problem.
"5,0",Kalitesini sorgulamak anlamsız.
"5,0","2 aydır kullanıyorum, bir sorun çıkmadı. Orijinal ürün."
"5,0","Beklenen performansı fazlasıyla karşılayan, ürün kalitesi, nitelikleri ve veri aktarım hızı çok iyi."
"5,0",1 günde geldi. Amazon çok hızlı ayrıca harika paketlenmiş fiyat zaten en ucuz daha ne olsun...
"5,0","Bilgisayarda 88 okuma, 63 yazma hızı gösterdi. Fiyatına göre oldukça iyi bir performans veriyor."
"4,0",Hızlı kargolama ve paketin yanında gönderdiğiniz kart saklama kutusu için teşekkürler
"5,0",Hızlı kargo sorunsuz çalışıyor şimdilik
"5,0",Depolama konusunda Samsung'tan şaşmamak gerek.
"5,0",Ürünü beğendim araç kamerasında kullanıyorum iyi kayıt yapıyor sorun yok satıcıya teşekkürler
"5,0",Sorunsuz
"5,0",Kaliteli urun teşekkürler amazon👍👍👍
"5,0",Yol kamerasi icin aldim gayet guzel calsiyor
"5,0","Akşam siparişi verdim,sabah geldi, süper.Ürün beklediğim gibiydi.Teşekkürler."
"5,0",SD Kart sipariş ettim sd kart geldi
"5,0",Ürün çok hızlı ulaştı. Üründe herhangi bir sorun yok. Çok memnun kaldım. Teşekkür ederim.
"5,0",MacBook Pro extend için aldım. Daha önce 128 GB versiyonun almıştım tavsiye ederim. Okuma/yazma hızı iyi
"5,0","Fiyatı gerçekten çok uygun ve sorunsuz çalışıyor, sonuçta orijinal ürün."
"5,0",Yazdığı değerlere yakın okuma yazma hızı s9 telefonum için aldım
"5,0",Orijinal ürün ve güzel paketlenmiş şekilde teslim aldım.
"5,0",İyi bir hafıza kartı hızı memnun edici..İyi alışverişti..
"5,0",Ürünü tabletimde kullanıyorum. Şimdilik herşey yolunda gidiyor. Herhangi bir sorun yok.
"5,0",Memnun kaldım
"5,0",yuksek çözünürlükteki medyalarınız için en ideal kart piyasadaki en uygun fiyat çin sitelerinden bile ucuZ
"5,0",Ürün yazma ve okuma konusunda kusursuz samsung bu işi çözmüş
"5,0","Performansı güzel, beklediğim nitelikleri sağlıyor. Veri aktarımı çok hızlı."
"5,0",Daha önce aldığım diğer markalarda hep sorun yaşadım.Bunda su ana kadar problem yok.
"5,0",Gayet guzel işlevini yerine getiriyor mai70 pro icin almistim sorunsuz calisti
"5,0",* Kutudan Sd - microSd adaptörünün çıkması güzel.* Hızı oldukça tatmin edici.
"5,0","Sipariş verdiğim günün  ertesi elimdeydi, çabuk ve güvenilir herkese tavsiye ederim"
"5,0","gayet hizli, drone ile kullanıyorum. 4k kaydı sorunsuz yapıyor. F/P urunu.."
"5,0",İndirimde iken F/P bir ürün.
"1,0",Yaptığım testlerde yazma ve okuma hızının 20mb/sn yi geçmediğini gördüm
"4,0","bir bilgisayarım görmedi.diğer bilgisayarım gördü,20 mb civarı yazma hızı vardı.."
"5,0",Ürün sağlam geldi ama kücücük kart icin bukadar kagit koymaya gerek yoktu
"5,0","Hızlı yazma, sıkıntısız çalışma.Action cam için aldım çok faydalı"
"5,0",başkası ile değişilmez. On numara bir micro sd kart dji osmoma da çok yakıştı :D
"5,0",okuma hızı yazma  hızından bayağı fazla.
"5,0",Hız ve kalite bir arada tavsiye ederim.
"5,0","Drone da 4K kayıtta kullanmak için aldım, gayette iyi vede memnunum."
"5,0",Samsung Galaxy book 10.1 de kullanmak için aldım. Mükemmel ikili oldu.
"5,0",Gopro için aldım. Sonuçtan memnunum. Fiyat performans ürünü
"5,0","Samsung EVO Plus MicroSDXC Kart 100 MB/s (SD Adaptör), 64 GB iyi kullanışlı"
"5,0",Hızlı çalışıyor.
"4,0","Tam bir F/P ürünü. Sadece Android ultra hızlı görmüyor, Dahili depolama olarak yavaş çalışıyor."
"5,0","ürün bilgilerinde ne yazıyorsa o , herhangi bir sorun yok"
"5,0",Ürün hemen siparişin ertesi günü elime ulaştı. Kaliteli orjinal üründür.
"5,0",Kartın 4k çekimlerinde sorunsuz bir deneyim yaşadım.Hızı normal bir kullanıcıya fazlasıyla yeter üzmez sizi.
"4,0",Heterince hızlı ve kaliteli bir sd. 4k çekimleri de sıkıntısız.
"5,0",Amazon'dan şimdiye kadar birkaç ürün aldım. Hepsinden de memnun kaldım
"5,0","Hızlı teslimat, kaliteli ürün"
"4,0",Bu ürün de oldukça kaliteli ve hızlı şekilde ulaştı.
"5,0","Fotoğraf makinesi ile kullanıyorum, gayet memnunum."
"5,0","Hız olarak problemli değil, gördüğüm kadarıyla iyi."
"4,0","Anlatacak pek birşey yok, kaliteli sd kart."
"5,0","Hızlı gönderim, kaliteli ürün, ertesi gün elimdeydi, teşekkür ederim"
"5,0",64 gb için orjinal ürün...
"5,0",Nintendo switch için almıştım. Oldukça hızlı ve stabil çalışıyor.
"5,0","Daha önce başka bir marka kullanıyordum, ancak SAMSUNG da oldukça iyi."
"5,0",Telefonuma aldım açıklamalarda belirtildiği gibi Süperrrrr
"5,0",ürün çalışıyor gayet iyi
"5,0",Anlatildigi gibi orjinal
"5,0","Hız ve kalite harika, gopro kameralar için hız açısından uyumlu"
"5,0","Uygun fiyat, sağlam ve hızlı kargo"
"5,0",Üründen gayet memnunum. Yazma ve okuma hızı süper. Teşekkürler
"5,0",Kamerada kullanıyorum. Tavsiye ederim.
"5,0",Uygun fiyat güvenilir marka hızlı teslimat beş yıldız
"5,0",Ürün gayet güzel kaliteli ve orijinal herkese tavsiye edilir.
"5,0",1 ayfır sorunsuz kullanıyor 4k video kayıtı sorunsuz yapıyor.
"5,0",Kamerada rahatlikla kullanabilirsiniz
"5,0",Ürün hemen kargoya verildi ve iyi paketlenmişti sıkıntısız çalışıyor.
"5,0",Fiyat performans çok iyi bir ürün 2 . Ye aldım biri nintendo switch biride telefonum için gayet memnunum
"5,0",Tam fiyat performans canavarı
"5,0",Hızlı ve güvenilir hafıza kartı bir sorun yaşamadım.
"5,0",Kibar tasarımlı ve işlevini yerine getiriyor
"5,0",Çok hızlı bir şekilde elime ulaştı. Üründen de çok memnunum.
"5,0","Ürün 10 numara 5 yıldız, koşulsuz tavsiye ediyorum"
"5,0",kaliteli ve elime çok hızlı ulaştı
"5,0",Telefon ile tam uyumlu ve hızlı okuma teşekkürler
"5,0",Fiyat uygun
"5,0",Çok hızlı teslimat. Güzel ürün. En uygun fiyat. Teşekkürler.
"5,0",Harfiyen belirtildigi gibi... Kesinlikle en iyisi
"5,0",1080p video çekerken herhangi bir sorun yaşamadım.
"5,0",Telefonum için aldım gayet kaliteli bir SD kart.
"5,0",Ürün çok iyi arkadaşlar gönül rahatlığıyla alabilirsiniz
"5,0",Hata payı Yok her telefona uygun
"5,0",satıcının belirttiği şekilde ürün elime ulaştı.
"5,0","Yeterli, fiyat performans ürünü"
"5,0",Iyı ürün iyi fiyat.
"5,0",Drone için aldım.Gayet stabil.
"5,0",1 günde teslim aldım. Ürün sorunsuz ve orjinal.
"5,0",Zamanında geldi kullanışlı fiyatı iyi
"5,0",Gayet makul bir ürün. Tavsiye ederim.
"5,0",mal hızlı geldi ve mükemmel çalıştı!
"5,0",Erken geldi ve fiyatı ürün kalitesine göre çok iyi
"5,0",Kaliteli ve hızlı bir micro sd kart. Teşekkürler Amazon Türkiye
"5,0",Hızlı elime ulaştı ve üründen çok memnun kaldım.
"5,0",ÜRÜN ÇOK GÜZEL SAMSUNG KALİTESİNİ ORTAYA ATIYOR.
"5,0",Süper ürün süper satıcı
"5,0",Tam söylendiği tarih aralığında geldi teşekkür ederim.
"5,0",Ürünü araç kamerasında kullandım.  gayet güzel
"5,0",Sony action kamera için aldım. Normal elektronik mağazalarına göre çok uygun ve kaliteli. Kaçırmayın...
"5,0",Fiyati 52 tl iken aldim .4k cekim mumkun
"5,0",Sorunsuz kullanıyorum.
"4,0",Urunler simdilik iyi sorun yok hizida gayet iyi
"5,0",Bu fiyata süper
"5,0",Zamanında ulaştı ve kaliteli bir ürün
"5,0",Ürün orjinal görünüyor ayrıca çok hızlı geldi
"5,0",2 günde elimde oldu. Sorunsuz bir ürün
"5,0","Huawei Mate 20 lite için aldım bugün geldi, sorunsuz çalışıyor."
