stars,body
"1,0",merhabalarbunu ciddi ciddi söylüyorum paranıza yazık almayın gidin sony m4 alın meselabu olmamış apple yakışmadı i̇ade ettim bu fiyata olmamış inadına kafa üstü kulaklık aldım anker q35  memnunum
"5,0",öncelikle amazon kaliteli hizmetinden dolayı teşekkür ediyorumgelen ürün açılmamış kutu olarak geldigaranti sürecinde hangi bir problem yok apple sitesinde görünüyor 24 ay süreligelelim probleme1 cihazı şarja taktığı ışığı yanmadı2 müzik dinlerken kulaklığı çıkarınca duraklama yapıyor fakat film izlerken duraklamıyorharicinde sıkıntı yok sebepten dolayı değişim istedim fakat değişim talebi karşılanmıyormuş sebeple iade edeceğim umarım amazon burda kalitesini gösterir göstedi
"5,0",amazon gerçekten teslimat işini öyle bir çözmüş pazar günü sipariş verdim pazartesi günü elimde ürünüm 24 saat bile olmadan gerçekten tebrik etmek lazım ürün orijinal airpods pro’nun güncel versiyonu 2 yıl garantisi bulunmakta indirimdeyken kaçırmadan aldım 👌🏻 kulaklık kalitesi konusunda zaten bir yazmama gerek yok apple airpods serisi dünyada kablosuz kulaklık devrini baştan yazdı pro modeli birlikte gelen aktif gürültü engelleme özelliği gerçekten üst seviyeye çıkartıyor kulaklığı
"5,0",kesinlikle alınması gereken bir ürün apple kullanıcıları ancak ben kendim airpods üç airpods pro arasında kaldım sonuç olarak şunu söyleyebilirim kesinlikle pro alın anc ses yalıtımı özelliği otobüste metroda büyük kolaylık sağlıyor ayrıca kulağıma acıtmıyor silikon rahatsız etmedi kesinlikle tavsiye ederim imkanınız varsa alın
"5,0",evde işte apple ekosistemi bir vazgeçilmezinizse durumda almanız gereken kulaklık budur standart modelle arasında ciddi farklar var neticede 2000 tl üzerine çıkacaksanız bunu almak yerinde olacaktır üst düzey ses veren kulaklık markalarını araştırdım bana kalırsa model sahip olduğu teknolojiyle rakiplerinin a 2-3 sene önünde android alacaksanız bulaşmayın derim durumda böyle pahalı bir kulaklığın özelliklerini kısıtlı kullanmak durumunda olacaksınız
"5,0",gürültü engelleme işine bayıldım mutfakta iş yaparken radyo tiyatrosu dinliyor yemek pişirme su seslerinden söylenenleri anlamıyordum şimdi gürültü aşırı azaldı rahatça dinliyorum tek sorun nadiren kulağımdan kayıp düşmesi bunun nedeni benim cildimin yağlı olması sünger uç alacağım sanırım gürültü engellemeyi kulağı kaplayan kulaklıklar iyi yapsa da yer kaplayan kibar kulaklığın işi görebilmesi harika
"4,0",the sound quality is good for many people however it’s not as impressive as i expected the battery lasts around 2-3 days depending on the usage compatibility with other apple products is magnificent i can seamlessly switch between macbook and iphone anc is also impressive and airpods in my ears are really comfortable i didn’t have any problem at all if you’re using apple devices buy it otherwise you can look for alternatives
"5,0",gurultu engelleme gercekten cok ayri bi teknoloji ozellikle yaz aylarinda pencereniz acik disaridan bilimum kus sesi cocuk sesi vs geliyorsa gurultu engellemeyi aciyorsunuz ses tak kesiliyor onun disinda transparent mod bi toplantida eger benim iki kulaklik takiliyken konusamiyorsaniz transparent moda alip sesinizi rahatca duyabilir iki kulakligi takabilirsiniz gercekten almakta gec kalmisim thx apple
"5,0",çekinmeden alabilirsiniz amazon prime farkıyla uygun fiyata aldık seri numarasıyla garanti süresini kontrol ettik kendi mağazasından almakla arada fark yok teşekkürler
"5,0",başlıktaki ikilemde kaldıysanız kendinize gelmenizi şiddetle tavsiye ederim ben kadar rahat bir kulaklık kullanmadım silikonlu kulaklıktan nefret eden olarak tercihimi kalsın 3 nesilden yana yapıyordum 3 nesili kullanan arkadaşım sayesinde test etme imkanım oldu test ettikten sonra iyi pro almışım dedim şeffaf mod gürültü engelleme modu resmen hayat kurtarıyor hayatımda harcadığım verimli paraydı
"5,0",ürünün anc özelliği iyi çalışırken dikkati dağılan biriyseniz yüksek gürültülü ortamlarda bulunuyorsanız kesinlikle almalısınız üründe bulunan silikonlar sizi daraltmıyor sanki nefes alıyor bir his veriyor kardeşimde apple 3 nesil airpods var bariz pro iyi
"5,0",merhabalar kulaklığı yaklaşık 2 ay önce aldım bu 2 aylık kullanımım sonucunda kulaklıktan memnun kaldım metroda otobüste uçaktaki deneyimlerimle aktif gürültü önleme özelliğinin başarılı çalıştığını söylemeliyim pil ömrü gayet uzun bundan önceki kulaklığım olan airpods 2 nesile göre şarjı uzun dayanıyor kulaklığın kablosuz şarjında bir sıkıntı yaşamadım magsafe standına koyduğumda rahatlıkla şarj oluyor şu ana kadar yaşadığım tek sıkıntı bir gün kulaklığı kullanmak istediğim zaman birinin şarjının %0 olduğunu gördüm tekrardan kutuya yerleştirdikten sonra şarj olmaya başladı bu konuyu araştırdığımda kullanıcıların sıkıntıyı 1-2 kere yaşadığını gördüm
"5,0",kulak ici olanlara bir on yargim vardi sahip oldugu basinc dengeleme ozelligi rahatsiz olmadan kullanabiliyorum ayrica ister noise cancellation acik kapali kullanimi rahat baska bir artisi diger versiyonlarda dokunmarik olan ozellik burda tuslu herkese tavsiye ederim
"4,0",ürün oldukça kaliteli apple dan aksi beklenmez lakin yanında gelen 3 boydaki kulakiçi aparatlar benim kulağıma uymadı özellikle sağ kulağımda ciddi ağrı uyuşma oldu i̇ade talep ettim normal modelini alacağım kulakiçi konusunda hassas olanlara önermiyorum
"5,0",yıllarca 1 nesil airpods kullandıktan sonra kulaküstü kulaklıklara geçiş yaptım bir süreden sonra başımı ağrıttığı airpods pro almak istedim en başta silikonlu olmasından dolayı oldukça önyargılıydım ancak kulağınıza ilk taktığınızda diğer silikonlu kulaklıklara benzemediğini fark edeceksiniz ekosistem uyumluluğu muazzam mac’ime döndüğümde direkt bağlantıyı mac’e aktarıyor bunu kısa sürede yapıyor ayrıca benim ekstra bir işlem yapmama gerek kalmıyor
"5,0",satıcının appleın sitesine göre uygun fiyatlı satması bir airpods pro sahibi olmama sebep oldu  teşekkürler airpods üzerine konuşmak gerekirse oldukça kaliteli bir bluetooth kulaklık ses kalitesi bluetooth özelliği oldukça başarılı hızlı bağlanıyor apple ürünlerine
"5,0",android işletim sisteminde uzamsal ses dışındaki özellikleri kullanilabiliyor macbook pro tam uyumlu fakat uzamsal ses henüz spotify browser üzerinde çalışmıyor apple music yahut ses dosyası kullanmak gerekiyor iphone zaten sorunsuz kaliteli müzik dinlemek apple alacağım aklıma gelmezdi  yapmışlar işi
"5,0",burada sınırsız teknik özellikten bahsedebiliriz fakat özet geçmek istiyorum anc iyi çalışıyor silikonlar kulağa tam oturuyor sensörler hızlı çalışıyor parasını hak eden bir ürün
"5,0",ürün elime yaklaşık 18 saatte ulaştı kargolama hız konusu gerçekten başarılıydı ürüne gelecek olursak piyasadaki dip fiyatlardan biri yüzden biraz şüpheyle yaklaştım seri no sorgulattığımda bir sıkıntı olmadı orijinal ürün kulaklığı övmeye gerek yok zaten arkadaşlar iyisi kusursuz bütçesi olan gönül rahatlığı alabilirnot aktif gürültü engelleme özelliği harika çalışıyor alışırsanız kulaklığı çıkarmazsınız bile
"5,0",uzun zamandır takip ettiğim bir ürün piyasada taklitleri çok o yüzden satıcı amazon olunca güvenerek aldım orjinal ürün tavsiye ederim
"5,0",airpods pro seni gidip sennheizer beats markalarla kıyasmak bir hata yapmışımamazon güvencesi apple dan bile büyük garanti
"5,0",i̇nternette yaptığım araştırmalarda ucuz olan airpods’un önce kullanılmış sıkıntısı olup tamir edilen airpods olduğunu öğrendim benimkinde bir sıkıntı görünmüyordu garanti süresi tam iki yıldı size tavsiyem kutuyu açmadan önce seri numarasını bi kontrol edin
"5,0",fiyat biraz pahalı ben indirimdeyken aldım kulaktan kesinlikle düşmüyordeki üç tane kulak tipine uygun olan aparatı sayesinde bir kere alınıp uzun yıllar rahatlıkla kullanılabilecek bir ürün
"5,0",her zamanki özveriyle hazırlanan hızlı iyi paketlenerek gönderiliürün performansına gelecek olursak özellikle gürültü önleyicisi efektif olmuş genel olarak gayet memnunum
"5,0",esime aldim gayet memnun oldugunu belirtiyor kendim evde bir kac deneme yaptim rahatti anc si gayet basarili transparent ozelligi olaganustu gercekten cok basarili
"1,0",kulaklık diğer arkadaşların belirttiği kusurlu kulaklığın kasası tam oturmamış pazardaki 5liralık kulaklıkların görüntüsünü andırıyo üstelik kullanılmış üründü sağ kulaklığın içinde kulak kiri vardı alır alma iade ediyorum
"3,0",müthiş bir ses deneyimi sunmuyor klasik earpods dan iyi değil kullanım rahatlığı güzel telefonla arada 3m varsa bağlantı kopuyor kulağımda ağrı yapıyor fiyatına göre eh işte oh yaa iyi almışım denecek bir ürün değil
"5,0",amazon güvenirliliği orijinal ürün uygun fiyatla olması teşekkürler
"2,0",maalesef iade etmek zorunda kaldım kulaklarımdan düştü hep daha sıkı bir fit olur airpods 3’tense bunu seçmiştim kulağımdan düştü uygun başlık çıkmadı onun dışında gürültü önleme özelliği falan iyi
"4,0",öncelikle sabah saatlerinde ucuza aldığım ürünün akşam pahalı olduğunu gördüm sonraki günler incelediğimde gün ürünün fiyatının değiştiğini görüyorum bu bana anlamsız geldi nedenini anlayamadım onun haricinde kulaklık iyi fakat arada ses kopmaları yaşıyorum
"1,0",ürün kusurluydu kulaklıkların ek yerleri tam oturmamıştı yamuk gözüküyordu i̇ade talep ettim umarım sorunsuz süreci tamamlarım
"5,0",gerçekten apple yazılım işinde kralürün mükemmel ses kalitesi gerek bas gerek tiz harikaamazon ayrılacağını anlatmaya gerek yok akşam saat 10’da verdiğim sipariş ertesi sabah 10’da kapımda idi teşekkürler
"5,0",i̇yi almışım dediğim bir ürün apple telefonla uyumu zaten iyi ancak özellikle ses önleme şeffaf modları harika
"5,0",sipariş ettikten sonra 16 saat içerisinde siparişim elime ulaştı kargolama hız mükemmeldi fiyatı bence uygundu tüm bunların yanında amazon güvencesiyle almak ayrı bir güvence bana göre amazondan alırken içim rahat ediyor
"5,0",i̇phone uyumu harika ses kalitesi yeterli aktif gürültü engelleme özelliği süper özellikle apple eko-sistemi kullanıyorsanız ilk düşüneceğiz kulaklık olmalı fiyat türkiye yüksek olsa konuda satıcının yapabileceği kalmamış görünüyor kargo amazon türkiye teşekkürü hakediyor
"5,0",pahalı dense eger apple ekosistemi kullaniyorsaniz mukemmelses izolasyonu oldukca basarili tavsiye ediyorum
"3,0",ürün rework edilmiş sanırım  fabrikadan çıktığı orijinallikte gözükmüyor plastik aksamları gönyede değil 2970 tl’ye aldım hafta başı sanırım yüzden ucuz apple sitesinde 4000 civarıydı
"5,0",noise cancel özelliği harika calışıyor dizayn herzamanki güzel kulak ici slikonlu tıkaç olmasına rağmen kulakta basınç hissiyatı olusturmuyor i̇nanılmaz hızlı sarj oluyor rahat kulagı rahatsız etmiyor butce varsa dusunmeden alın cok memnun kaldım prime teslimat mükemmel sorunsuz hızlı
"5,0",xiaomi vb markaların ekonomik modellerini kullanırken ürüne geçmek + iphone 13e geçmek yeniden doğmuş gibi öneririm fiyatlar güzel yükseldi alacaklara geçmiş olsun
"5,0","bir i̇ngiliz atasözü der ki; ""ben ucuz bir alacak kadar zengin değilim""mikrofonları doğru düzgün olmayan sözüm ona top 5 markanın ürünlerini almaktansa bir kere iyisini alın"
"5,0",keşke alım gücümüz biraz yüksek olsa gönül rahatlığı 1 ay düşünmeden alabilsek bunun haricinde ihtiyacı olan fiyatını düşünmeyenler ucuz yollu olsun yan sanayi ürünlere bakmanın vakit kaybetmenin anlamı yok alın geçin rahatınıza bakın
"5,0",özelliklerini zaten anlatmaya gerek yokamazon bir günde ürünü gönderiyor orjinal ürünbazen kulaklıkta hışırtı bir ses geliyor bu dikkatimi çekti bunun dışında iyi
"1,0",gelir gelmez 3 gün sonra sol kulaklığın şarj kısmı bozuldu 1 hafta sonrasında reste atıp tekrar bağlamaya çalıştığımda hiçbir cihazımı görmedi evde bütün cihazlar apple olmasına rağmen piyasadaki bozuk ürünler mi satılıyor bilmiyorum
"5,0",rha üst seviye kulakiçi kulaklar dahi kullandım airpods pro onlarla yarışır seviyede airpods 2 ye göre oldukça fark var ses kalitesi olarak mikrofon kalitesi olarak kesinlikle 2 ye oranla iyi diyebilirim
"5,0",head track spatial audio gerçekten güzel bir özellik ses kalitesi ses yüksekliği gayet iyi seviyede… sony xm1004 alacaktım fakat iphone kullandığım airpods pro yu tercih ettim
"5,0",urunu 17 aralikta siparis verdim 18 aralikta elime ulasti orjinal apple satiicisi olmasindaj dolayi guvenerek aldim 0i 3500 tlidi burda 2650tl ye aldim sanirim sonuncuyu aldim benden sonra stok bitti…
"5,0",olumsuz bir kaç yorum okuduğumda gelecek endişe etmiştim fakat ürün gayet sağlam kaliteli şüpheniz olmasın sipariş verdikten sonra inanılmaz bir hızla elime ulaştı ilk bir kargoyu kadar erken teslim aldım
"4,0",herzamanki ertesi gün hızlı bir şekilde elime ulaştı  seri numarasını girince 2 yıl garantiside çıktı ancak üst kutunun içinde yazan 602- başlayan kodun sonu alt kutuda farklı bitiyor aynı olması gerekmiyormu
"5,0",dün 1430 sipariş verdim bugün 1230da geldi antalya/alanya  gerçekten konuda şahanesiniz ürün yorum yapacak kadar apple bilgisine sahip değilim kulağıma oturdu ses kalitesi bana yeterli geldi teşekkürler amazon
"4,0",ürün orjinal fatura gelmedi
"5,0",apple airpods pro başarılı konuda yorum yapmaya gerek yok pazar akşam aldım pazartesi öğlen elimdeydi kadar hızlı teslimat yapıldığı i̇çin teşekkür ederim amazon farkı
"5,0",ürün elime ulaşma süreci teşekkürler
"5,0",hediye olarak aldım beğendi 🌸🤗
"5,0",apple işte yetmez mi…
"5,0",başta almaya çekindim aldıktan sonra korktuğum olmadı ürün orijinal garantili öneririm
"1,0",ürünü alıp asimetrik yapıştırma nedeni değişim talep ettim ama yine aynı problem  i̇ade etmek zorunda kaldım satıcı elindeki sorunlu ürünleri bitirmeye çalışıyor sanırım
"5,0",aktif gürültü engelleme özelliği gerçekten harika çok kaliteli bir ses deneyimi yaşatıyor siparişim özenle paketlenerek gönderilmişti kampanya teşekkürler amazon
"5,0",sonuna kadar parasını hak ediyor
"5,0",ürünü açmadan önce sorgulama yaptım orjinal ses kalitesi vs zaten harika teslimat konusunda amazon gerçekten başarılı
"3,0",üründe sıkıntı yok puanı gece 24 te gelen agt kargo yüzünden düşük veriyorum
"4,0",sağ kulağımdak düşmüyor fakat sol kulağımdan düşüyor onun haricinde sesi iyi fiyata alınır
"5,0",ses kali̇tesi̇ ve dişardan gelen sesi̇ çok güzel süzüyor
"5,0",ürün ilgili yorum yapmaya gerek yok zaten güzel amazon gerçekten hızlı gönderdi 1 gün bile geçmeden elimdeydi tebrikler
"5,0",gürültü önleme şeffaf mod iyi dünyadan soyutlanmak şarkılara odaklanmak istiyorsanız memnun kalacağınız bir ürün
"5,0",airpods pro gerçekten fiyatının karşılığını veriyor özellikle gürültü engelleme iyi ses kalitesi mükemmel
"5,0",ertesi gün teslimat orijinal ürün 👌🏻
"5,0",hızlı teslimat teşekkürler kalitesi tartışılmaz ürünü uygun fiyata aldık
"5,0",anc arıyorsanız apple ürünleri tam uyumlu tek kulaklık
"4,0",kulaklık güzel fakat paralar verilmez bence bir puanı fiyattan kırdım
"5,0",ürün harika bas sesleri arka ses engelleyici görünüm kutusu vs çekinmeden alın
"5,0",kulaklığı anlatmaya gerek yok zaten iyi siparişin ertesi günü elime ulaştı
"4,0",ürün gayet güzel kullanışlı anlatıldığı sadece fatura elime ulaşmadı
"5,0",oldukça hızlı bir şekilde geldi ürün orijinal problemsiz teşekkürler
"5,0",orijinal 2021 yılı yeni nesil magsafe şarj kutulu ürün teşekkürler
"5,0",hızlı teslimat ürün orijinal harika bir müzik deneyimi sunuyor
"5,0",ürün gerçekten harikulade özellikle gürültü engelleme özelliği
"5,0",çok fazla yoruma gerek yok apple kalitesini fark ettiriyor
"5,0",hergün kullanıyorum memnunum
"5,0",hızlı teslimat orjinal ürün teşekkürler amazon
"5,0",çok hızlı sıkıntısız bir şekilde geldi teşekkürler
"5,0",sevgilime hediye aldım memnun
"5,0",ürün mükemmel fatura biraz geç gelmesi kötü
"5,0",bu kadar iyi olmasini beklemiyordum
"5,0",şarjı iyi gidiyor
"1,0",ürün kesinlikle orjinal değil
"5,0",muhteşem 😍
"5,0",beğendim ürün orijinal
"5,0",harika bir
"5,0",sesi mükemmel 🤩
"5,0",teşekkür ederim
"5,0",bu kulaklığın üstüne ben kulaklık tanımam allah cc dileyen herkese almayı nasip etsin gerçekten mükemmel bir ürün aldım memnunum ses çıkışı vs açıdan cidden mü-kem-mel
"5,0",yaklaşık 2 ay kadar süre önce aldım aldığımdan beri kullanıyorum bundan önce 2 nesil kullanıyordum yüzden aktif gürültü engelleme şeffaflık modunu deneyimlemek istediğim 3 nesili tercih etmedim otobüste sabah akşam seyahat ettiğim aldığımdan beri neredeyse gün günde 2-3 saat kullanıyorum aktif gürültü engelleme gerçekten söylendiği kadar var belki iyidir örnek vermek gerekirse gürültülü bir ortamdan kar yağan bir bir bahçedeymişsiniz sessizlik oluyor gerçekten benzetmek gerekirse kar yağarkenki sessizlik yerinde olur şeffaflık modu kulağınızda kulaklık yokmuşçasına iyi çalışıyor i̇lk taktığımda şeffaflık modunu farketmemiştim bile i̇ki özelliğin kapalı olduğu modu tavsiye etmem normal kulakiçi kulaklık bir hissiyatı var basınç eşitleme kanalları fark yaratıyor ses kalitesine söylenecek pek bir olmadığını düşünüyorum 20hze kadar bile temiz tok bas yanıtı alabiliyorsunuz tizlerde appleın mühendisliğinin benzeri yok gürültü engelleme açıkken sessiz bir çevre sağladığı sesi %70ten fazla ayarlayacağınız düşünmüyorum mikrofonları zaten iyi olan 2 nesile benziyor rüzgarlı ortamlarda iyi bir hüzmeleme sağladını düşünüyorum bataryası benim kullanımımla 1 hafta 8-9 gün gidiyor tabi kutuyla benden yoğunlukta belirli özellikleri kullanmazsanız uzun gidebilir benim görüşlerim kadar faydalı bulduysanız butonu kullanabilirsiniz
"5,0",aktif gürültü engelleme özelliği mizofoni rahatsızlığı olan benim gibi kişiler aranan nimet sizi triggerlayan bir ses duyduğunuzda sesi çıkartmayı keser misin ağız eğmektense bir tuşa basıp bundan kurtuluyorsunuz sağlık türlü parayı dökersiniz işte ondan be aga #misophonia #mizofoni
"5,0",en son jabra elite 7 proyu deneyen olarak şunu söyleyebilirim airpods pronun iphone uyumu bağlantı hızı müzik arama kalitesi gerçekten etkileyici bende 2019da aldığım airpods pro vardı magsafe olmayan modeli bir önceki modelinde baslar zayıfmış gürültü önleme biraz kötüymüş buna göre bunu alınca aradaki farkları iyi anladım kablosuz şarj özelliği olması bir artı olarak öne çıkıyor jabra elite 7 pro oldukça güzel iphone uyumu açısından elbette airpods pro uzamsal ses gürültü engelleme özelliği gerçekten hoş amazon garantisi güveni apple kalitesiyle birleşiyor teşekkür ediyorum tavsiye ediyorum
"5,0",apple eko sisteme sahip olanların asla pişman olmayacağı yanından ayırmayacağı bir ürün şu ana kadar kullandığım iyi kulaklık çoğu kulağımda unuttum kadar hafif ses kalitesi şarjı modları cihazlar arasındaki seri hatta anında geçişi bilim bişi bulamadım eksik fazlasıyla iyi alırken fiyatı düşündürür aldıktan sonra iyiki dersiniz
"5,0",öncelikle kargo süreci amazona teşekkür ederim prime 1 günde getirdiler telefonum iphone 12 sorunsuz bir şekilde bağlantı yaptım onun dışında kulaklığa gelecek olursam gerçekten iyi bir kulaklık özellikle aktif gürültü engelleyici özelliği gerçekten harika istemediğiniz sesleri iyi bir şekilde kesiyor i̇şe giderken servisteki trafik seslerini  bilgisayarın fan sesi vs sayabilecek bir şeyi gayet iyi bir şekilde kesiyor hem müzik dinleyip insanlar iletişime geçmek isterseniz şeffaf mod gerçekten iyi bir şekilde çalışıyor bu arada uzamsal ses kesinlikle kulaklığı aldığınızda denemeniz gereken harika bir teknoloji
"5,0",tek kelime mükemmel 12 pro mükemmel uyum 👍🏼şeffaf mod uzamsal ses bir güzel özellik iphone kullanıyorsanız fiyata kaçırmayın
"5,0",ürün muhteşem
"5,0",harika bir ses deneyimi yaşamak istiyosanız airpods pro dan şaşmayın derim
"5,0",pratik bir cihaz olmuş konuda
"5,0",teşekkürler ürünü anlatmaya gerek yok
"5,0",orijinal ürün iki günde elime ulaştı teşekkürler
"5,0",hızlı bir şekilde ulaştı orjinal ürün
"5,0",harika hızlı tam memnuniyet teşekkürler amazon
"5,0",kulaklik bir gun sonra geldi hizli kargo ayrica seri numarasina baktirdim iki yil garantisi var orijinal urun tesekkurler amazon
"5,0",urun amazon resmi turkiye saticisindan orijinal bir sekilde geldi kargo paketlemesi yeterliydi agt kargo 1 gunde elime ulasti kaliteli hizmet icin tesekkurler amazon urune gelirsek ozellikle apple ekosisteminde kullananlar icin net secenek windows bir pc`de kullanim verimli degil pc`de ses cikisi mikrofon olarak kullanma sansiniz var ne yazik iki ozelligi bir arada kullanamiyorsunuz
"5,0",ürün magsafe kutulu orijinal apple türkiye garantili serin no dan kontrol ettim cihaz gayet güzel hoş ses kalitesi iyi noise cancelling transparency mod güzel çalışıyor noise cancelling mod dış kullanım uygun sessiz ortamlarda aktif gereksiz olur dış sesleri bastırmak üretilen frekans nedeniyle arka fonda hafif bir ton mevcut bere vs kullanırken transparency modu kapatmayı unutmayın sürtünme seslerini içeriye iletiyor uzamsal ses harika çalışıyor ürünün yanında kılıf almayı unutmayın 25 tl lik kılıf aldım gayet güzel oldu sap kısmının kısa olması eski versiyonlara göre güzel olmuş
"5,0",amazondan bir haftada aldığım ikinci airpods pro öncelikle amazoncom sektördeki profesyonel müşteri dostu olduğunu düşündüğüm kurum ürünlerin ikisi kısa bir zaman içerisinde geldi  bir sorun yaşamadım ürüne gelince parasını hakeden bir ürün markanın iyisi bu dış dünya temasınız bir anda kesiliyor mutfakta çalışan aspiratörü kapattıktan sonraki ruh halinin bir kaç kat fazlasını düşünmenizi öneririm kullanışlı tatmin edici bir ürün mutlaka bütçe bir alışverişteki büyük belirleyici arasında kaldığınız iki ürün arasında büyük fiyat farkları yoksa bunu tavsiye ederim
"5,0",apple kalitesi zamanki harika alıp almamak arasında gidip geliyordum iyi almışım çok güzel gerçekten noise cancelling özelliği harika şeffaf mod baya kullanışlı kulaklıktan konuştuğumu amlamıyor karşı taraf kablosuz kulaklık büyük rahatlık
"5,0",öncelikle ürünü amazon üzerinden almadım bendeki modeli magsafe uyumlu güncel model olduğu 1 aylık tecrübelerimi kullanım deneyimlerimi aktarmak istedim pro modeli 2 3 nesil arasında kaldıysanız şöyle yardımcı olabilirim eğer müzik dinlemek istiyorsanız müziğin tınısını gerçekten hissetmek istiyorsanız düşünmeden pro model alabilirsiniz günlük hayatınızda sürekli telefon görüşmesi yapıyorsanız bütçenize göre diğer modelleri alabilirsiniz i̇zmirde yaşıyorum pro modelini izmirdeki türlü ulaşım aracında kullandım gürültü engelleme konusunda gerçekten inanılmaz rahatlık sağlıyor dışarıdaki rahatsız eden sesi tamamen kesiyor ama konuşma seslerini olsa duyabiliyorsunuz uzamsal ses yalnızca i̇phone kullanılabiliyor android cihazlarda kullanamıyorsunuz yorumlarda spor yaparken kulaktan çıktığını yazmışlar arkadaşlar alakası bile yok kulaktan mümkün değil düşmez bi diğer modelleri almayı düşünüyormuş silikon boyutunu doğru ayarladıktan sonra uymama bir durum olacağını düşünmüyorum onun dışında kutusu çiziliyor çok ufak ince çizikler oluştu kısa zamanda kılıf kullanmanızı tavsiye ediyorum neyse genel olarak müzik dinleme manyağı olduğumdan son derece memnunum fiyatı biraz pahalı buna değer
"5,0",cihaz harika gürültü uzamsal ses deneyimi müzik dinlerken keyif verici fiyatı konusunda uzun süre düşündüm fakat pişman olmadım aldıktan sonra zaten ben aldıktan sonra zam geldi
"5,0",süper hız tesekkürler
"5,0",merhaba yaklaşık iki haftadır kullanıyorum ses kalitesi mükemmel gürültü engelleme özelliği başarılı yanınızda çalışan elektrik süpürgesinin sesini bile duyamıyorsunuz karşınızda konuşan kişinin sesi gelmiyor dudaklarının oynadığını görüyorsunuz almadan önce yorumlarda abartıldığını düşünüyordum kullanınca doğru olduğunu anladım ürün kulağa tam oturdu üç adet silikon seçeneği var kulağınızdan çıkardığınızda ses otomatik kesiliyor temiz hasarsız ürün teslim edildi tek sorun ben aldıktan bir kaç gün sonra 200 tl ucuzladı
"5,0",10/10daha önce müzik dinlememişim
"5,0",merhaba arkadaşlar ben beğendim eski sürüm değil yeni nesil sürüm piyasada eski sürüm satılıyor alırken dikkat edilmesi gereken bir husus @amazona ayrıca teşekkür ederim orjinal ürünleri sürekli satıyor kargom özel yapılmış ayrıca belirtmek istiyorum
"5,0",airpods pro almadan önce ciddi bir araştırma yaptımsilikon kulakçıkların kulağa tam oturmadığına dair bir sürü yorum gördümfakat küçük silikon kulakaçık kulağıma tam oturduses kalitesii muazzam kesinlikle öneriyorum
"5,0",gayet güzel hızlı geldi seri noyu kontrol ettim orjinal ürün ayrıca apple müzik 6 ay ücretsiz
"5,0",daha öncesinde airpods 3 serisini sipariş etmiştim fakat bir talihsizlik yaşadığımdan iade etmek zorunda kaldım yarım gün onu kullanmak nasip olmuştuve sonrasında iade etmiştim airpods 3te güzel bir kulaklık fakat müzik sesini fazla dışarıya veriyordu buda benim şahsen istemediğim bir durumama airpods pro apayrı bir canavar olmuş sesi aktif gürültü engellemesi falan inanılmaz güzel dinleyince müptelası oluyor insan niye önce almamışım ben bunu bir sorgulamıyor değil kendini  teşekkürler amazon teşekkürler apple
"5,0",bu kulaklikla uzamsal ses veriyor harika birsey apple yine yapmis
"5,0","macunun termal iletkenliği 85 wm/k piyasadaki diğer macunlara göre iyi yeterli bir değer araştırma yaparsanız mx-4ün termal macun tier listlerde üst seviyelerde olduğunu görebilirsinizayrıca piyasada son zamanlarda sahte termal macunlar türedi bu durum birçok termal macun markası geçerli bana gelen mx-4 kesinlikle orijinal bunun sağlamasını yaptım size kontrol edebileceğiniz yöntemlerden bahsedeyim* öncelikle bir ürün piyasa fiyatının altında satılıyorsa üründen kıllanın* bunun dışında arctic ürünlerinin piyasadaki imitasyonlardan ayırt edilebilmesi adına torba tarzı paketli macunlardan kutu tarzı şeker kutusu gibi bir paketlemeye geçti orijinal olanı ayırt edebilmeniz belirgin adımlar var* sahte olan ürünlerin qr kodlarının sol üst köşesinde piramit şeklinde bir düzen yok iç içe geçmiş durumdalar gerçeğindeki qr kodda sol üstte piramit formu var* sahte olan ürünün ""hardware"" logolu kısmının altında ""aceoeoxvnmosaur swcsxvomensrzn"" şeklinde random yazılar oluyor gerçeğinde ""das hardware magazin für pc spieler"" yazıyor* sahte olan üründe ""carbon neutral"" ""preis-leistungs-tipp"" yazan kısımlardaki yeşil renkler koyu cırtlak bir renge sahip orijinali uçuk sade bir yeşil* sahte olan ürünün ambalajında yer alan yıldızlar blurlu kalitesiz olduğu için iki boyutlu düz olarak görünüyor orijinal ürünün kutusundaki yıldızlar 3 boyutlu içindeki işlemeler belirgin bir biçimde görülüyorsonuç olarak ürünü tavsiye ederim i̇şlemcimde gözle görülür soğutma değerleri yakaladım gönül rahatlığı kullanabilirsiniz"
